Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
1.707,14.2,267,7.7,10,13.8,262,1.04,1.528,14.2,267,0.713,4.4,228,1.752,14.5,2.224,14.8,3.062,13.5,2019-12-05T11:15:00Z,2019-12-05T11:00:00Z,2019-12-05T11:10:00Z
1.707,14.2,258,6.4,8.1,12.4,272,1.01,1.407,14.2,258,0.942,4.1,302,1.625,11.1,2.063,13,2.605,13,2020-01-03T09:00:00Z,2020-01-03T09:00:00Z,2020-01-03T09:00:00Z
1.707,14.2,258,6.4,8.1,12.4,272,1.01,1.407,14.2,258,0.942,4.1,302,1.625,11.1,2.063,13,2.605,13,2020-01-03T09:05:00Z,2020-01-03T09:00:00Z,2020-01-03T09:00:00Z
1.707,14.2,258,6.4,8.1,12.4,272,1.01,1.407,14.2,258,0.942,4.1,302,1.625,11.1,2.063,13,2.605,13,2020-01-03T09:10:00Z,2020-01-03T09:00:00Z,2020-01-03T09:10:00Z
1.707,14.2,258,6.4,8.1,12.4,272,1.01,1.407,14.2,258,0.942,4.1,302,1.625,11.1,2.063,13,2.605,13,2020-01-03T09:15:00Z,2020-01-03T09:00:00Z,2020-01-03T09:10:00Z
1.712,14.2,254,6.1,7.7,11.1,267,1.03,1.39,14.2,254,0.95,6.7,276,1.766,11.4,2.173,11.9,3.481,12,2020-01-01T05:00:00Z,2020-01-01T05:00:00Z,2020-01-01T05:00:00Z
1.712,14.2,254,6.1,7.7,11.1,267,1.03,1.39,14.2,254,0.95,6.7,276,1.766,11.4,2.173,11.9,3.481,12,2020-01-01T05:05:00Z,2020-01-01T05:00:00Z,2020-01-01T05:00:00Z
1.712,14.2,254,6.1,7.7,11.1,267,1.03,1.39,14.2,254,0.95,6.7,276,1.766,11.4,2.173,11.9,3.481,12,2020-01-01T05:10:00Z,2020-01-01T05:00:00Z,2020-01-01T05:10:00Z
1.712,14.2,254,6.1,7.7,11.1,267,1.03,1.39,14.2,254,0.95,6.7,276,1.766,11.4,2.173,11.9,3.481,12,2020-01-01T05:15:00Z,2020-01-01T05:00:00Z,2020-01-01T05:10:00Z
1.715,14.2,254,7.5,9.7,12.9,278,1.09,1.545,14.2,254,0.711,6.7,262,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-21T16:00:00Z,2020-01-21T16:00:00Z,2020-01-21T16:00:00Z
